,Year - Month,Carrier,Destination,Departures,Miles,Seats,Passengers,Seat Utilization,Payload (lbs),Freight (lbs),Mail (lbs)
18,2015-01,Shuttle America Corp. (Domestic),"New York, NY (LGA)","1,482","984,216","102,370","49,937",49%,"28,278,874",0,0
19,2015-01,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",246,"81,981","17,940","11,113",62%,"4,599,188","5,778",0
20,2015-01,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",5,"3,665",380,363,96%,"76,000",0,0
21,2015-01,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",827,"784,229","122,225","81,032",66%,"29,651,800","222,827",0
22,2015-01,Spirit Air Lines (Domestic),"New York, NY (LGA)",323,"272,850","56,910","47,811",84%,"11,382,000",0,0
23,2015-01,"Swift Air, LLC (Domestic)","New York, NY (LGA)",2,758,136,51,38%,"69,861",0,0
24,2015-01,United Air Lines Inc. (Domestic),"New York, NY (LGA)",666,"743,066","94,344","67,021",71%,"20,691,075","5,780",0
25,2015-01,US Airways Inc. (Domestic),"New York, NY (LGA)",881,"266,749","106,913","58,858",55%,"28,510,100","18,385",0
26,2015-01,Virgin America (Domestic),"New York, NY (LGA)",103,"142,243","12,935","7,815",60%,"3,879,841",0,0
27,2015-01,Westjet (International),"New York, NY (LGA)",163,"58,191","20,607","11,704",57%,"5,014,555",0,0
1,2015-02,Air Canada (International),"New York, NY (LGA)",245,"89,140","24,155","17,864",74%,"5,779,701","7,484",0
2,2015-02,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",436,"114,509","21,800","12,784",59%,"10,491,822","1,091",0
3,2015-02,American Airlines Inc. (Domestic),"New York, NY (LGA)",988,"1,038,318","156,274","119,201",76%,"39,887,100","243,448",0
4,2015-02,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","1,978","1,596,347","276,748","209,203",76%,"68,100,709","273,953",0
5,2015-02,Delta Air Lines Inc. (Latin America),"New York, NY (LGA)",4,"7,844",610,473,78%,"156,807",0,0
6,2015-02,Endeavor Air Inc. (Domestic),"New York, NY (LGA)",739,"449,460","55,009","34,445",63%,"15,493,890",536,0
7,2015-02,Envoy Air (Domestic),"New York, NY (LGA)","1,173","666,272","66,810","41,610",62%,"16,939,690","1,438",0
8,2015-02,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)",848,"402,094","51,006","32,684",64%,"12,649,120",6,0
9,2015-02,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",55,"60,280","8,580","6,455",75%,"2,200,000",0,0
10,2015-02,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)",934,"476,267","65,380","38,932",60%,"16,447,740",0,0
11,2015-02,Jazz Aviation LP (International),"New York, NY (LGA)",64,"20,928","3,200","2,030",63%,"960,001",0,0
12,2015-02,JetBlue Airways (Domestic),"New York, NY (LGA)",504,"515,474","75,600","60,132",80%,"18,849,600","33,032",0
13,2015-02,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",4,916,280,258,92%,"74,000",0,0
14,2015-02,Piedmont Airlines (Domestic),"New York, NY (LGA)",39,"3,744","1,384","1,144",83%,"337,350",10,0
15,2015-02,PSA Airlines Inc. (Domestic),"New York, NY (LGA)",20,"10,880","1,520","1,382",91%,"450,000",0,0
16,2015-02,Republic Airlines (Domestic),"New York, NY (LGA)",112,"28,794","8,696","5,259",60%,"2,376,872",0,0
17,2015-02,Shuttle America Corp. (Domestic),"New York, NY (LGA)","1,307","843,778","90,458","50,401",56%,"25,009,319",0,0
18,2015-02,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",222,"73,809","16,204","11,942",74%,"4,108,390","8,046",0
19,2015-02,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",7,"5,131",532,514,97%,"106,400",0,0
20,2015-02,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",722,"691,716","106,288","71,746",68%,"25,780,400","234,916",0
21,2015-02,Spirit Air Lines (Domestic),"New York, NY (LGA)",288,"242,913","52,399","43,273",83%,"10,479,800",0,0
22,2015-02,United Air Lines Inc. (Domestic),"New York, NY (LGA)",632,"706,696","88,648","68,169",77%,"19,437,954","6,684",0
23,2015-02,US Airways Inc. (Domestic),"New York, NY (LGA)",860,"252,782","102,787","64,488",63%,"27,378,300","17,421",2
24,2015-02,Virgin America (Domestic),"New York, NY (LGA)",86,"118,766","10,867","7,487",69%,"3,238,133",0,0
25,2015-02,Westjet (International),"New York, NY (LGA)",158,"56,406","20,067","11,413",57%,"4,885,997",0,0
1,2015-03,Air Canada (International),"New York, NY (LGA)",294,"104,925","29,558","22,553",76%,"7,477,840","1,078",0
2,2015-03,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",482,"129,184","24,100","15,644",65%,"11,454,268","3,925",1
3,2015-03,American Airlines Inc. (Domestic),"New York, NY (LGA)","1,154","1,221,552","182,150","146,924",81%,"46,656,700","192,447",0
4,2015-03,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","2,499","2,024,347","348,979","281,754",81%,"84,090,204","295,302",0
5,2015-03,Delta Air Lines Inc. (Latin America),"New York, NY (LGA)",4,"7,844",640,505,79%,"163,580",0,0
6,2015-03,Endeavor Air Inc. (Domestic),"New York, NY (LGA)",829,"489,521","61,110","41,222",67%,"17,177,014",448,0
7,2015-03,Envoy Air (Domestic),"New York, NY (LGA)","1,449","813,935","82,121","51,343",63%,"20,780,260","1,915",0
8,2015-03,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)",905,"429,862","55,708","37,391",67%,"13,786,580",0,0
9,2015-03,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",90,"112,264","12,480","10,771",86%,"3,770,000",0,0
10,2015-03,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)","1,082","586,766","75,740","49,084",65%,"19,054,020",0,0
11,2015-03,Jazz Aviation LP (International),"New York, NY (LGA)",65,"21,255","3,250","1,937",60%,"975,000",0,0
12,2015-03,JetBlue Airways (Domestic),"New York, NY (LGA)",565,"578,592","84,750","71,437",84%,"21,131,000","33,481",0
13,2015-03,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",15,"3,435","1,050",978,93%,"277,500",0,0
14,2015-03,Piedmont Airlines (Domestic),"New York, NY (LGA)",43,"4,128","1,545","1,254",81%,"371,950",21,0
15,2015-03,PSA Airlines Inc. (Domestic),"New York, NY (LGA)",23,"12,512","1,748","1,664",95%,"517,500",0,0
16,2015-03,Republic Airlines (Domestic),"New York, NY (LGA)",122,"30,889","9,463","6,572",69%,"2,586,769",0,0
17,2015-03,Shuttle America Corp. (Domestic),"New York, NY (LGA)","1,556","1,000,431","106,688","67,094",63%,"29,377,728",0,0
18,2015-03,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",223,"73,671","16,253","11,496",71%,"4,295,555","4,398",0
19,2015-03,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",6,"4,398",456,414,91%,"91,200",0,0
20,2015-03,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",848,"804,504","124,612","99,679",80%,"30,173,600","230,918",0
21,2015-03,Spirit Air Lines (Domestic),"New York, NY (LGA)",312,"264,217","57,531","50,905",88%,"11,506,200",0,0
22,2015-03,Tradewind Aviation (Domestic),"New York, NY (LGA)",1,175,9,4,44%,"6,000",0,0
23,2015-03,Trans States Airlines (Domestic),"New York, NY (LGA)",80,"18,320","4,000","3,648",91%,"889,440",0,0
24,2015-03,United Air Lines Inc. (Domestic),"New York, NY (LGA)",744,"821,986","105,634","90,387",86%,"23,475,573","7,057",0
25,2015-03,US Airways Inc. (Domestic),"New York, NY (LGA)","1,019","300,827","121,712","82,399",68%,"32,426,900","15,044",6
26,2015-03,Virgin America (Domestic),"New York, NY (LGA)",105,"145,005","13,203","10,490",79%,"3,954,852",0,0
27,2015-03,Westjet (International),"New York, NY (LGA)",180,"64,260","22,774","13,063",57%,"5,544,987",0,0
1,2015-04,Air Canada (International),"New York, NY (LGA)",301,"107,391","30,284","24,986",83%,"7,665,511","5,551",0
2,2015-04,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",487,"132,948","24,348","16,912",69%,"5,960,880","2,706",0
3,2015-04,American Airlines Inc. (Domestic),"New York, NY (LGA)","1,177","1,235,078","185,988","154,367",83%,"47,552,700","98,495",0
4,2015-04,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","2,324","1,841,891","325,995","272,453",84%,"78,964,532","279,685",0
5,2015-04,Delta Air Lines Inc. (Latin America),"New York, NY (LGA)",4,"7,844",610,566,93%,"157,207",0,0
6,2015-04,Endeavor Air Inc. (Domestic),"New York, NY (LGA)",827,"547,952","60,911","42,790",70%,"17,116,006",177,0
7,2015-04,Envoy Air (Domestic),"New York, NY (LGA)","1,538","838,274","87,091","60,741",70%,"22,020,410","1,220",0
8,2015-04,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)",835,"456,613","51,905","34,598",67%,"12,864,820",54,0
9,2015-04,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",91,"113,562","12,618","11,279",89%,"9,239,000",0,0
10,2015-04,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)","1,099","598,568","76,930","50,856",66%,"19,353,390",0,0
11,2015-04,Jazz Aviation LP (International),"New York, NY (LGA)",71,"23,217","3,550","2,311",65%,"1,065,000",0,0
12,2015-04,JetBlue Airways (Domestic),"New York, NY (LGA)",561,"574,803","84,150","73,085",87%,"20,981,400","26,914",0
13,2015-04,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",44,"10,076","3,080","2,875",93%,"814,000",0,0
14,2015-04,Piedmont Airlines (Domestic),"New York, NY (LGA)",56,"5,376","1,992","1,644",83%,"484,400",145,0
15,2015-04,PSA Airlines Inc. (Domestic),"New York, NY (LGA)",25,"13,600","1,900","1,727",91%,"562,500",0,0
16,2015-04,Republic Airlines (Domestic),"New York, NY (LGA)",142,"40,721","11,239","7,974",71%,"3,066,205",0,0
17,2015-04,Shuttle America Corp. (Domestic),"New York, NY (LGA)","1,945","1,124,825","126,105","81,471",65%,"33,818,444",0,0
18,2015-04,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",225,"74,154","16,392","12,382",76%,"4,354,341","5,443",0
19,2015-04,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",10,"7,330",760,735,97%,"152,000",0,0
20,2015-04,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",908,"856,380","132,636","108,640",82%,"32,155,200","257,061",0
21,2015-04,Spirit Air Lines (Domestic),"New York, NY (LGA)",324,"274,157","59,722","54,216",91%,"11,873,200",0,0
22,2015-04,"Swift Air, LLC (Domestic)","New York, NY (LGA)",1,327,179,46,26%,"34,700",0,0
23,2015-04,Trans States Airlines (Domestic),"New York, NY (LGA)",10,"2,290",500,457,91%,"111,180",0,0
24,2015-04,United Air Lines Inc. (Domestic),"New York, NY (LGA)",744,"831,139","107,016","89,309",83%,"24,052,931","6,915",1
25,2015-04,US Airways Inc. (Domestic),"New York, NY (LGA)","1,059","307,915","125,599","92,845",74%,"33,408,500","15,162",5
26,2015-04,Virgin America (Domestic),"New York, NY (LGA)",108,"149,148","13,560","10,926",81%,"4,068,318",0,0
27,2015-04,Westjet (International),"New York, NY (LGA)",197,"70,329","24,611","15,916",65%,"5,981,107",0,0
1,2015-05,Air Canada (International),"New York, NY (LGA)",366,"129,807","37,671","29,955",80%,"10,064,499","2,427",0
2,2015-05,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",472,"128,781","23,600","17,969",76%,"5,777,280","2,184",0
3,2015-05,American Airlines Inc. (Domestic),"New York, NY (LGA)","1,178","1,232,519","186,294","162,908",87%,"47,543,600","176,984",0
4,2015-05,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","2,276","1,778,989","320,191","262,192",82%,"78,010,749","278,871",0
5,2015-05,Delta Air Lines Inc. (Latin America),"New York, NY (LGA)",5,"9,805",750,476,63%,"194,395",0,0
6,2015-05,Endeavor Air Inc. (Domestic),"New York, NY (LGA)",758,"545,747","56,346","43,743",78%,"15,866,420",222,0
7,2015-05,Envoy Air (Domestic),"New York, NY (LGA)","1,407","760,275","79,967","61,247",77%,"20,282,600","1,108",0
8,2015-05,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)",773,"412,262","47,921","35,541",74%,"11,867,320",31,0
9,2015-05,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",92,"107,056","15,840","13,399",85%,"10,780,000",0,0
10,2015-05,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)","1,181","630,581","82,670","58,252",70%,"20,797,410",0,0
11,2015-05,Jazz Aviation LP (International),"New York, NY (LGA)",71,"23,217","3,625","2,805",77%,"1,076,398",0,0
12,2015-05,JetBlue Airways (Domestic),"New York, NY (LGA)",546,"559,843","81,900","67,757",83%,"20,420,400","31,925",0
13,2015-05,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",52,"11,908","3,640","3,323",91%,"962,000",0,0
14,2015-05,Piedmont Airlines (Domestic),"New York, NY (LGA)",46,"4,416","1,668","1,453",87%,"397,900",78,0
15,2015-05,PSA Airlines Inc. (Domestic),"New York, NY (LGA)",24,"13,056","1,824","1,641",90%,"540,000",19,0
16,2015-05,Republic Airlines (Domestic),"New York, NY (LGA)",121,"31,749","9,592","6,773",71%,"2,616,475",0,0
17,2015-05,Shuttle America Corp. (Domestic),"New York, NY (LGA)","1,979","1,138,875","128,029","91,171",71%,"34,293,460",0,0
18,2015-05,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",235,"78,087","17,156","13,792",80%,"4,282,159","3,986",0
19,2015-05,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",9,"6,597",684,665,97%,"136,800",0,0
20,2015-05,Songbird Airways Inc. (Domestic),"New York, NY (LGA)",1,"1,096",150,150,100%,"35,000",0,0
21,2015-05,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",930,"872,103","135,768","121,159",89%,"32,898,000","320,444",0
22,2015-05,Spirit Air Lines (Domestic),"New York, NY (LGA)",328,"276,171","60,075","55,397",92%,"11,897,000",0,0
23,2015-05,Titan Airways (International),"New York, NY (LGA)",1,"1,424",148,87,59%,"26,543",0,0
24,2015-05,Trans States Airlines (Domestic),"New York, NY (LGA)",100,"58,049","5,000","4,143",83%,"1,111,800",0,0
25,2015-05,United Air Lines Inc. (Domestic),"New York, NY (LGA)",758,"842,345","111,986","100,863",90%,"28,517,704","31,090",0
26,2015-05,US Airways Inc. (Domestic),"New York, NY (LGA)","1,047","305,015","125,067","97,561",78%,"33,340,700","16,952",75
27,2015-05,Virgin America (Domestic),"New York, NY (LGA)",107,"147,767","13,549","11,978",88%,"4,027,964",0,0
28,2015-05,Vision Airlines (Domestic),"New York, NY (LGA)",1,335,224,58,26%,"68,046",0,0
29,2015-05,Westjet (International),"New York, NY (LGA)",193,"68,901","24,395","16,580",68%,"5,958,899",0,0
30,2015-05,XTRA Airways (Domestic),"New York, NY (LGA)",1,"1,096",150,145,97%,"35,000",0,0
1,2015-06,Air Canada (International),"New York, NY (LGA)",356,"125,748","37,635","33,144",88%,"10,095,309","4,814",0
2,2015-06,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",536,"155,165","26,767","18,962",71%,"6,560,640","3,542",0
3,2015-06,American Airlines Inc. (Domestic),"New York, NY (LGA)","1,177","1,239,418","186,157","168,736",91%,"47,537,400","170,431",0
4,2015-06,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","2,280","1,781,828","318,295","254,899",80%,"78,116,533","212,588",0
5,2015-06,Delta Air Lines Inc. (Latin America),"New York, NY (LGA)",4,"7,844",600,291,49%,"155,516",0,0
6,2015-06,Endeavor Air Inc. (Domestic),"New York, NY (LGA)",861,"577,361","63,514","50,375",79%,"17,856,076",873,0
7,2015-06,Envoy Air (Domestic),"New York, NY (LGA)","1,059","574,966","62,403","49,016",79%,"16,006,340","1,088",0
8,2015-06,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)",832,"437,740","51,671","38,329",74%,"12,847,260",142,0
9,2015-06,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",90,"103,816","14,739","13,303",90%,"10,530,000",0,0
10,2015-06,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)",920,"513,576","64,400","47,415",74%,"16,201,200",0,0
11,2015-06,Island Airlines LLC (Domestic),"New York, NY (LGA)",1,212,9,2,22%,"3,274",0,0
12,2015-06,Jazz Aviation LP (International),"New York, NY (LGA)",70,"22,890","3,500","2,605",74%,"1,050,001",0,0
13,2015-06,JetBlue Airways (Domestic),"New York, NY (LGA)",525,"534,687","78,750","62,735",80%,"19,635,000","28,787",0
14,2015-06,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",34,"7,786","2,380","1,692",71%,"629,000",0,0
15,2015-06,Piedmont Airlines (Domestic),"New York, NY (LGA)",39,"3,744","1,401","1,087",78%,"337,350",35,0
16,2015-06,PSA Airlines Inc. (Domestic),"New York, NY (LGA)",89,"47,079","5,048","4,069",81%,"1,325,340","1,206",0
17,2015-06,Republic Airlines (Domestic),"New York, NY (LGA)",122,"31,372","9,617","6,664",69%,"2,624,723",0,0
18,2015-06,Shuttle America Corp. (Domestic),"New York, NY (LGA)","2,112","1,208,550","137,242","101,229",74%,"36,845,045",0,0
19,2015-06,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",227,"75,462","16,570","13,264",80%,"4,295,040","2,205",0
20,2015-06,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",8,"5,864",608,565,93%,"121,600",0,0
21,2015-06,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",929,"870,413","134,897","123,271",91%,"32,636,200","281,945",0
22,2015-06,Spirit Air Lines (Domestic),"New York, NY (LGA)",299,"252,623","54,163","47,635",88%,"10,832,600",0,0
23,2015-06,Trans States Airlines (Domestic),"New York, NY (LGA)",255,"147,558","12,750","10,336",81%,"2,835,090",0,0
24,2015-06,United Air Lines Inc. (Domestic),"New York, NY (LGA)",729,"822,972","107,014","98,435",92%,"26,671,295","8,139",0
25,2015-06,US Airways Inc. (Domestic),"New York, NY (LGA)","1,036","303,074","123,211","94,965",77%,"32,813,200","10,046",0
26,2015-06,Virgin America (Domestic),"New York, NY (LGA)",106,"146,386","13,433","11,240",84%,"3,990,142",0,0
27,2015-06,Westjet (International),"New York, NY (LGA)",189,"67,473","24,211","18,338",76%,"5,926,302",0,0
1,2015-07,Air Canada (International),"New York, NY (LGA)",371,"131,622","38,311","33,985",89%,"10,186,205","5,419",0
2,2015-07,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",408,"111,988","20,398","14,461",71%,"4,993,920","2,685",0
3,2015-07,American Airlines Inc. (Domestic),"New York, NY (LGA)","2,269","1,593,509","318,761","269,428",85%,"82,882,200","166,293",3
4,2015-07,Avjet Corporation (Domestic),"New York, NY (LGA)",1,"2,460",8,2,25%,"2,000",0,0
5,2015-07,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","2,069","1,750,040","295,169","245,419",83%,"71,568,542","137,298",0
6,2015-07,Delta Air Lines Inc. (Latin America),"New York, NY (LGA)",8,"12,260","1,200",786,66%,"311,032",0,0
7,2015-07,Endeavor Air Inc. (Domestic),"New York, NY (LGA)",932,"616,231","68,832","52,418",76%,"19,355,712",341,0
8,2015-07,Envoy Air (Domestic),"New York, NY (LGA)","1,159","625,313","67,836","48,914",72%,"17,337,490","1,210",0
9,2015-07,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)","1,053","555,103","66,052","45,941",70%,"16,799,440",75,0
10,2015-07,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",93,"107,818","15,366","14,275",93%,"8,990,000",0,0
11,2015-07,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)",976,"540,092","68,320","49,070",72%,"17,187,360",0,0
12,2015-07,Jazz Aviation LP (International),"New York, NY (LGA)",69,"22,563","3,450","2,464",71%,"1,035,001",0,0
13,2015-07,JetBlue Airways (Domestic),"New York, NY (LGA)",549,"561,263","82,350","66,628",81%,"20,532,600","29,760",0
14,2015-07,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",54,"12,366","3,780","1,965",52%,"999,000",0,0
15,2015-07,Piedmont Airlines (Domestic),"New York, NY (LGA)",45,"4,320","1,620","1,184",73%,"389,250",261,0
16,2015-07,PSA Airlines Inc. (Domestic),"New York, NY (LGA)",37,"19,924","2,517","1,995",79%,"715,200",0,11
17,2015-07,Republic Airlines (Domestic),"New York, NY (LGA)",143,"35,444","11,154","7,940",71%,"3,047,343",0,0
18,2015-07,Shuttle America Corp. (Domestic),"New York, NY (LGA)","2,265","1,238,352","147,905","104,549",71%,"39,799,930",0,0
19,2015-07,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",236,"78,609","17,231","13,649",79%,"4,533,554","2,508",0
20,2015-07,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",999,"928,657","144,841","131,346",91%,"35,077,400","201,564",0
21,2015-07,Spirit Air Lines (Domestic),"New York, NY (LGA)",329,"280,193","59,729","52,283",88%,"11,945,800",0,0
22,2015-07,Trans States Airlines (Domestic),"New York, NY (LGA)",421,"214,670","21,050","15,029",71%,"4,680,678",0,0
23,2015-07,United Air Lines Inc. (Domestic),"New York, NY (LGA)",778,"875,644","110,994","102,253",92%,"27,851,547","18,554",149
24,2015-07,Virgin America (Domestic),"New York, NY (LGA)",112,"154,672","14,174","11,523",81%,"4,216,441",0,0
25,2015-07,Westjet (International),"New York, NY (LGA)",194,"69,258","24,553","19,277",79%,"5,991,340",0,0
1,2015-08,Air Canada (International),"New York, NY (LGA)",368,"130,551","37,931","35,342",93%,"10,162,337","3,941",0
2,2015-08,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",377,"101,653","18,829","14,610",78%,"4,614,480","1,153",0
3,2015-08,American Airlines Inc. (Domestic),"New York, NY (LGA)","2,249","1,568,555","314,024","269,038",86%,"81,606,600","132,691",3
4,2015-08,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","2,118","1,792,797","301,400","256,386",85%,"73,102,000","197,078","8,198"
5,2015-08,Delta Air Lines Inc. (Latin America),"New York, NY (LGA)",10,"15,325","1,499","1,362",91%,"390,992",0,0
6,2015-08,Endeavor Air Inc. (Domestic),"New York, NY (LGA)","1,025","675,888","75,152","55,770",74%,"21,094,340",362,0
7,2015-08,Envoy Air (Domestic),"New York, NY (LGA)","1,022","555,591","58,353","41,743",72%,"14,787,550","1,770",1
8,2015-08,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)","1,087","566,350","68,332","47,448",69%,"17,171,260",86,0
9,2015-08,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",94,"108,914","15,702","14,225",91%,"10,982,000",0,0
10,2015-08,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)",952,"546,195","66,800","47,270",71%,"16,816,120",0,0
11,2015-08,Jazz Aviation LP (International),"New York, NY (LGA)",73,"23,871","3,650","2,818",77%,"1,094,999",0,0
12,2015-08,JetBlue Airways (Domestic),"New York, NY (LGA)",544,"556,897","81,600","70,495",86%,"20,345,600","25,677",0
13,2015-08,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",60,"18,488","4,224","3,994",95%,"1,107,440",0,0
14,2015-08,Piedmont Airlines (Domestic),"New York, NY (LGA)",45,"4,320","1,632","1,396",86%,"389,250",358,0
15,2015-08,PSA Airlines Inc. (Domestic),"New York, NY (LGA)",25,"13,600","1,900","1,788",94%,"562,500",3,0
16,2015-08,Republic Airlines (Domestic),"New York, NY (LGA)",315,"124,478","23,765","16,190",68%,"6,637,510",0,0
17,2015-08,Republic Airlines (Latin America),"New York, NY (LGA)",27,"9,639","1,996","1,445",72%,"566,993",0,0
18,2015-08,Shuttle America Corp. (Domestic),"New York, NY (LGA)","2,378","1,282,992","155,543","105,130",68%,"41,889,171",0,0
19,2015-08,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",235,"78,120","17,146","13,963",81%,"4,590,842","1,740",0
20,2015-08,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",13,"9,529",988,961,97%,"197,600",0,0
21,2015-08,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",979,"922,480","142,013","129,341",91%,"34,375,000","192,063",0
22,2015-08,Spirit Air Lines (Domestic),"New York, NY (LGA)",331,"278,828","61,508","56,394",92%,"12,256,000",0,0
23,2015-08,Tradewind Aviation (Domestic),"New York, NY (LGA)",2,336,16,9,56%,"6,900",0,0
24,2015-08,Trans States Airlines (Domestic),"New York, NY (LGA)",464,"227,622","23,200","16,182",70%,"5,158,752",0,0
25,2015-08,United Air Lines Inc. (Domestic),"New York, NY (LGA)",760,"856,489","109,410","101,723",93%,"27,744,127","16,746",0
26,2015-08,Virgin America (Domestic),"New York, NY (LGA)",108,"149,148","13,701","10,064",73%,"4,065,153",0,0
27,2015-08,Westjet (International),"New York, NY (LGA)",192,"68,544","24,699","20,455",83%,"6,051,569",0,0
1,2015-09,Air Canada (International),"New York, NY (LGA)",361,"128,019","38,198","30,826",81%,"10,348,950","4,741",0
2,2015-09,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",365,"97,719","18,249","13,288",73%,"4,467,600","1,306",0
3,2015-09,American Airlines Inc. (Domestic),"New York, NY (LGA)","2,204","1,537,904","307,401","257,804",84%,"80,072,200","192,649",348
4,2015-09,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","1,935","1,568,420","256,485","202,763",79%,"64,736,752","274,543","34,576"
5,2015-09,Eastern Airlines Group Inc. (Domestic),"New York, NY (LGA)",1,"1,096",189,69,37%,"82,900",0,0
6,2015-09,Endeavor Air Inc. (Domestic),"New York, NY (LGA)",994,"670,673","72,091","50,762",70%,"20,184,724",346,0
7,2015-09,Envoy Air (Domestic),"New York, NY (LGA)",754,"401,176","42,705","30,428",71%,"10,813,050","1,426",0
8,2015-09,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)",844,"435,653","52,805","35,886",68%,"13,122,820",0,32
9,2015-09,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",90,"104,340","15,228","13,752",90%,"8,700,000",0,0
10,2015-09,Gainjet Aviation SA (International),"New York, NY (LGA)",2,"3,501",126,36,29%,"28,314",0,0
11,2015-09,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)",857,"470,429","60,266","40,856",68%,"16,293,300",0,0
12,2015-09,Island Airlines LLC (Domestic),"New York, NY (LGA)",2,315,18,2,11%,"5,557",0,0
13,2015-09,Jazz Aviation LP (International),"New York, NY (LGA)",73,"23,871","3,650","2,500",68%,"1,094,999",0,0
14,2015-09,JetBlue Airways (Domestic),"New York, NY (LGA)",535,"547,574","80,050","60,968",76%,"19,964,200","30,736",0
15,2015-09,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",67,"24,839","4,818","4,412",92%,"1,234,380",0,0
16,2015-09,Piedmont Airlines (Domestic),"New York, NY (LGA)",48,"4,608","1,755","1,437",82%,"415,200",29,0
17,2015-09,PSA Airlines Inc. (Domestic),"New York, NY (LGA)",80,"42,558","4,676","3,309",71%,"1,245,960",5,0
18,2015-09,Republic Airlines (Domestic),"New York, NY (LGA)",467,"220,473","34,243","23,633",69%,"9,544,916",0,0
19,2015-09,Republic Airlines (Latin America),"New York, NY (LGA)",69,"24,633","4,950","3,953",80%,"1,390,545",0,0
20,2015-09,Shuttle America Corp. (Domestic),"New York, NY (LGA)","2,125","1,172,134","141,097","96,404",68%,"38,273,524",0,0
