,Airline,Aircraft,Seats
122,American_Airlines,Boeing 757-200 (752) V3,190
123,American_Airlines,Boeing 757-200 (752) V4,176
124,American_Airlines,Embraer ERJ-170 (E70),69
125,American_Airlines,Embraer ERJ-175 (E75) V1,76
126,American_Airlines,Embraer ERJ-175 (E75) V2,80
127,American_Airlines,Embraer ERJ-190 (E90),99
128,American_Airlines,McDonnell Douglas MD-80 (M80),140
129,American_Airlines,Bombardier CRJ-200 (CR2),50
130,American_Airlines,Bombardier CRJ-700 (CR7) V1,63
131,American_Airlines,Bombardier CRJ-700 (CR7) V2,65
132,American_Airlines,Bombardier CRJ-700 (CR7) V3,67
133,American_Airlines,Bombardier CRJ-700 (CR7) V4,70
134,American_Airlines,Bombardier CRJ-900 (CR9) V1,76
135,American_Airlines,Bombardier CRJ-900 (CR9) V2,79
136,American_Airlines,Bombardier CRJ-900 (CR9) V3,76
137,American_Airlines,Embraer ERJ-140 (ERD),44
138,American_Airlines,Embraer ERJ-145 (ER4),50
139,American_Airlines,de Havilland Dash 8 (DH1),37
140,American_Airlines,de Havilland Dash 8 (DH3),46
141,Southwest_Airlines,Boeing 737-300 (733) Evolve,143
142,Southwest_Airlines,Boeing 737-300 (733) V2,137
143,Southwest_Airlines,Boeing 737-700 (737) ,143
144,Southwest_Airlines,Boeing 737-800 (738),175
145,Spirit_Airlines,Airbus A319 (319),145
146,Spirit_Airlines,Airbus A320 (320) V1,178
147,Spirit_Airlines,Airbus A320 (320) V2,182
148,Spirit_Airlines,Airbus A321 (321) V1,218
149,Spirit_Airlines,Airbus A321 (321) V2,228
150,Delta_Airlines,Airbus A330-200 (332),234
151,Delta_Airlines,Airbus A330-300 (333),293
152,Delta_Airlines,Boeing 747-400 (744),376
153,Delta_Airlines,Boeing 767-300 (76P/76Q),261
154,Delta_Airlines,Boeing 767-300ER (76H/76Z),226
155,Delta_Airlines,Boeing 767-300ER (76L),211
156,Delta_Airlines,Boeing 767-300ER (76T/76W),208
157,Delta_Airlines,Boeing 767-300ER (76Z) V2,226
158,Delta_Airlines,Boeing 767-400ER (76D),246
159,Delta_Airlines,Boeing 777-200ER/LR (77L),291
160,Delta_Airlines,Airbus A319 (319) V1,126
161,Delta_Airlines,Airbus A319 (319) V2,132
162,Delta_Airlines,Airbus A320 (320/32K) V2,160
163,Delta_Airlines,Airbus A320 (320/32R) V1,150
164,Delta_Airlines,Airbus A321 (321),192
165,Delta_Airlines,Boeing 717-200 (717),110
166,Delta_Airlines,Boeing 737-700 (73W),124
167,Delta_Airlines,Boeing 737-800 (73H),160
168,Delta_Airlines,Boeing 737-900ER (739) ,180
169,Delta_Airlines,Boeing 757-200 (757),180
170,Delta_Airlines,Boeing 757-200 (75D) ,199
171,Delta_Airlines,Boeing 757-200 (75G),169
172,Delta_Airlines,Boeing 757-200 (75S) ,168
173,Delta_Airlines,Boeing 757-300 (75Y),234
174,Delta_Airlines,Embraer E-170 (E70),69
175,Delta_Airlines,Embraer E-175 (E75),76
176,Delta_Airlines,McDonnell Douglas MD-88 (M88),149
177,Delta_Airlines,McDonnell Douglas MD-90 (M90),160
178,Delta_Airlines,Bombardier CRJ-100 (CRJ),50
179,Delta_Airlines,Bombardier CRJ-100/200,50
180,Delta_Airlines,Bombardier CRJ-700 (CR7) V1,65
181,Delta_Airlines,Bombardier CRJ-700 (CR7) V2,70
182,Delta_Airlines,Bombardier CRJ-700 (CR7) V3,69
183,Delta_Airlines,Bombardier CRJ-900 (CR9),76
184,Delta_Airlines,Embraer ERJ-145,50
185,United_Airlines,Boeing 747-400 (744),374
186,United_Airlines,Boeing 767-300ER (76L) Three Class,183
187,United_Airlines,Boeing 767-300ER (76L) Two Class,214
188,United_Airlines,Boeing 767-400ER (764) Intl,242
189,United_Airlines,Boeing 777-200 (772) V1 Three Class Intl,266
190,United_Airlines,Boeing 777-200 (772) V2 Three Class Intl,269
191,United_Airlines,Boeing 777-200 (772) V3 Two Class Intl,267
192,United_Airlines,Boeing 777-200 (772) V4,364
193,United_Airlines,Boeing 777-300ER (77W),366
194,United_Airlines,Boeing 787-8 (788),219
195,United_Airlines,Boeing 787-9 (789),252
196,United_Airlines,Airbus A319 (319),128
197,United_Airlines,Airbus A320 (320) ,150
198,United_Airlines,Boeing 737-700 (737) Domestic,118
199,United_Airlines,Boeing 737-700 (737) Micronesia ,124
200,United_Airlines,Boeing 737-700 (737) V3,126
201,United_Airlines,Boeing 737-800 (738) V1 ,154
202,United_Airlines,Boeing 737-800 (738) V2,166
203,United_Airlines,Boeing 737-800 (738) V3,166
204,United_Airlines,Boeing 737-800 (738) V4,166
205,United_Airlines,Boeing 737-900 (739) V1/V2,167
206,United_Airlines,Boeing 737-900 (739) V3,179
207,United_Airlines,Boeing 737-900 (739) V4,179
208,United_Airlines,Boeing 757-200 (752) V1 Intl ,169
209,United_Airlines,Boeing 757-200 (752) V2 PS ,142
210,United_Airlines,Boeing 757-300 (753) V1/V2,213
211,United_Airlines,Embraer EMB 170,70
212,United_Airlines,Embraer EMB 175,76
213,United_Airlines,Bombardier CRJ-200 V1,50
214,United_Airlines,Bombardier CRJ-200 V2,50
215,United_Airlines,Bombardier CRJ-700 V1,66
216,United_Airlines,Bombardier CRJ-700 V2,70
217,United_Airlines,Bombardier CRJ-700 V3,66
218,United_Airlines,Embraer ERJ-135,37
219,United_Airlines,Embraer ERJ-145 V1,50
220,United_Airlines,Embraer ERJ-145 V2,50
221,United_Airlines,Bombardier Q200,37
222,United_Airlines,Bombardier Q300,50
223,United_Airlines,Bombardier Q400 V1,71
224,United_Airlines,Bombardier Q400 V2,74
225,United_Airlines,Embraer EMB-120 V1,30
226,United_Airlines,Embraer EMB-120 V2,30
227,United_Airlines,Saab 340B,34
228,Alaska_Airlines,Boeing 737-400 (734),144
229,Alaska_Airlines,Boeing 737-400 (734) Combi,72
230,Alaska_Airlines,Boeing 737-700 (737),124
231,Alaska_Airlines,Boeing 737-800 (738) Slimline V1,163
232,Alaska_Airlines,Boeing 737-800 (738) Slimline V2,159
233,Alaska_Airlines,Boeing 737-900 (739) V1,181
234,Alaska_Airlines,Boeing 737-900 (739) V2,178
235,Alaska_Airlines,Embraer 175 (E75),76
236,Alaska_Airlines,Bombardier CRJ-700,70
237,Alaska_Airlines,Bombardier Q400,76
238,JetBlue_Airways,Airbus A320 (320),150
239,JetBlue_Airways,Airbus A321 (321) Transcon,159
240,JetBlue_Airways,Airbus A321 (321) V1,190
241,JetBlue_Airways,Airbus A321 (321) V3,200
242,JetBlue_Airways,Embraer E-190 (E90),100
243,Frontier_Airlines,Airbus A319 (319) V1,150
244,Frontier_Airlines,Airbus A319 (319) V2,138
245,Frontier_Airlines,Airbus A320 (320) V1,180
246,Frontier_Airlines,Airbus A320 (320) V2,168
247,Frontier_Airlines,Airbus A321 (321),230
248,Virgin_America,Airbus A319 (319),119
249,Virgin_America,Airbus A320 (320) V1,149
250,Virgin_America,Airbus A320 (320) V2,146
251,Virgin_America,Airbus A321 (321),185
