,airline,manufacturer,model
N11551,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N11565,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N116SY,SKYWEST AIRLINES INC,EMBRAER,ERJ 170-200 LR
N117AA,CORSAIR TWO LLC,CANADAIR LTD,CL-600-2B16
N117SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N117UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214
N118AA,VAN LIERE RANDY J,NORTH AMERICAN,NAVION
N118SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N118US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214
N119SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N119US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214
N120SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N12122,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N12126,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N12135,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N12136,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N12142,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N12145,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N12157,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N12160,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N12163,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N12166,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N12167,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N12172,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N12175,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N12195,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N121SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N121UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214
N12201,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N12216,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N12218,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N12221,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N12225,UNITED AIRLINES INC,BOEING,737-824
N12238,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N122AA,ADKINS AVIATION LLC,ROBINSON HELICOPTER COMPANY,R44 II
N122SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N122US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214
N123AA,SMITH KEM W,HURT GEORGE,CHALLENGER I SPECIAL
N123UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214
N124AA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-231
N124SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N124US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214
N12540,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N12552,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N12563,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N12564,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N12567,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N12569,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N125AA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-231
N125DL,DELTA AIR LINES INC,BOEING,767-332
N125SY,SKY WEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N125UW,AMERICAN AIRLINES INC,AIRBUS,A320-214
N126UW,AMERICAN AIRLINES INC,AIRBUS,A320-214
N12754,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-700
N127AA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-231
N127DL,DELTA AIR LINES INC,BOEING,767-332
N127SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N127UW,AMERICAN AIRLINES INC,AIRBUS,A320-214
N128AA,SUMMERLAND AIRCRAFT CORP,CESSNA,U206F
N128SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N128UW,AMERICAN AIRLINES INC,AIRBUS,A320-214
N12900,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N12922,DAS PLANE LLC,EMBRAER,EMB-145LR
N12996,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N130SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N13118,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N13123,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N13124,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N13132,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N13133,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N13138,UNITED AIRLINES INC,BOEING,757-224
N13161,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N131EV,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24
N131SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N13202,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N13227,UNITED AIRLINES INC,BOEING,737-824
N13248,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N132EV,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24
N132SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N133EV,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24
N133SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N134EV,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24
N134SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N13538,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N13550,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N13553,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N13566,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N135EV,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24
N135SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N136EV,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24
N136SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N13716,UNITED AIRLINES INC,BOEING,737-724
N13718,UNITED AIRLINES INC,BOEING,737-724
N13720,UNITED AIRLINES INC,BOEING,737-724
N13750,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724
N137EV,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24
N138EV,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24
N138SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N13903,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N13908,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N13913,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N13914,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N13949,AEROVISION AIRCRAFT SERVICES LLC,EMBRAER,EMB-145LR
N13964,AVI SALES & LEASING SERVICES LLC,EMBRAER,EMB-145LR
N13965,AVI SALES & LEASING SERVICES LLC,EMBRAER,EMB-145LR
N13969,SPECTRE AIR CAPITAL LLC,EMBRAER,EMB-145LR
N13970,SPECTRE AIR CAPITAL LLC,EMBRAER,EMB-145LR
N13975,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N13978,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N13979,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N13988,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N13989,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N13992,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N13994,SOUTHERN AIRCRAFT CONSULTANCY INC TRUSTEE,EMBRAER,EMB-145LR
N13995,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N13997,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N139SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N140LL,DELTA AIR LINES INC,BOEING,767-332
N140SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N14105,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N14116,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N14117,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N14120,UNITED AIRLINES INC,BOEING,757-224
N14125,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N14143,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N14148,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N14153,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N14158,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N14162,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N14168,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N14171,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N14173,WELLS FARGO BANK NORTHWEST NA-TRUSTEE,EMBRAER,EMB-145XR
N14174,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N14177,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N14179,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N14180,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N14186,WELLS FARGO BANK NORTHWEST NA OWNER TRUSTEE,EMBRAER,EMB-145XR
N14188,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N14198,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N141SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N14203,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N14204,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N14214,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N14219,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N14228,UNITED AIRLINES INC,BOEING,737-824
N14230,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N14231,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N14235,UNITED AIRLINES INC,BOEING,737-824
N14237,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N14240,UNITED AIRLINES INC,BOEING,737-824
N14242,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N14249,UNITED AIRLINES INC,BOEING,737-824
N14250,UNITED AIRLINES INC,BOEING,737-824
N142SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N143SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N144SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N14542,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N14543,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N14558,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N14562,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N14568,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N14570,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N14573,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N145SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N146PQ,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24
N146SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N14704,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724
N14731,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724
N14735,UNITED AIRLINES INC,BOEING,737-724
N147PQ,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24
N148SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N14902,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N14904,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N14905,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N14907,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N14916,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N14920,SOUTHERN AIRCRAFT CONSULTANCY INC TRUSTEE,EMBRAER,EMB-145LR
N14923,SOUTHERN AIRCRAFT CONSULTANCY INC TRUSTEE,EMBRAER,EMB-145LR
N14959,AEROVISION AIRCRAFT SERVICES LLC,EMBRAER,EMB-145LR
N14974,SPECTRE AIR CAPITAL LLC,EMBRAER,EMB-145LR
N14977,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N14991,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N14993,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N14998,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N149SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N150AA,TAXMAN ARTHUR M,GRUMMAN AMERICAN AVN. CORP,AA-1A
N150SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N150UW,AMERICAN AIRLINES INC,AIRBUS,A321-211
N151AA,INTERNATIONAL AIR SERVICES INC TRUSTEE,TAGUE LARRY,PIONEER 200
N151SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N151UW,AMERICAN AIRLINES INC,AIRBUS,A321-211
N152AA,AMERICAN AIRLINES INC,AIRBUS,A321-231
N152SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
