,manufacturer,model
N13994,EMBRAER,EMB-145LR
N13995,EMBRAER,EMB-145LR
N13997,EMBRAER,EMB-145LR
N139SY,EMBRAER S A,ERJ 170-200 LR
N140SY,EMBRAER S A,ERJ 170-200 LR
N14105,EMBRAER,EMB-145XR
N14120,BOEING,757-224
N14143,EMBRAER,EMB-145XR
N14148,EMBRAER,EMB-145XR
N14158,EMBRAER,EMB-145XR
N14162,EMBRAER,EMB-145XR
N14168,EMBRAER,EMB-145XR
N14171,EMBRAER,EMB-145XR
N14173,EMBRAER,EMB-145XR
N14174,EMBRAER,EMB-145XR
N14177,EMBRAER,EMB-145XR
N14179,EMBRAER,EMB-145XR
N14180,EMBRAER,EMB-145XR
N14188,EMBRAER,EMB-145XR
N14198,EMBRAER,EMB-145XR
N141SY,EMBRAER S A,ERJ 170-200 LR
N14203,EMBRAER,EMB-145XR
N14204,EMBRAER,EMB-145XR
N14214,BOEING,737-824
N14219,BOEING,737-824
N14228,BOEING,737-824
N14230,BOEING,737-824
N14231,BOEING,737-824
N14235,BOEING,737-824
N14237,BOEING,737-824
N14240,BOEING,737-824
N14242,BOEING,737-824
N14249,BOEING,737-824
N14250,BOEING,737-824
N142SY,EMBRAER S A,ERJ 170-200 LR
N143SY,EMBRAER S A,ERJ 170-200 LR
N144SY,EMBRAER S A,ERJ 170-200 LR
N14542,EMBRAER,EMB-145LR
N14543,EMBRAER,EMB-145LR
N14558,EMBRAER,EMB-145LR
N14562,EMBRAER,EMB-145LR
N14568,EMBRAER,EMB-145LR
N14570,EMBRAER,EMB-145LR
N14573,EMBRAER,EMB-145LR
N145SY,EMBRAER S A,ERJ 170-200 LR
N146PQ,BOMBARDIER INC,CL-600-2D24
N146SY,EMBRAER S A,ERJ 170-200 LR
N14704,BOEING,737-724
N14731,BOEING,737-724
N14735,BOEING,737-724
N147PQ,BOMBARDIER INC,CL-600-2D24
N148SY,EMBRAER S A,ERJ 170-200 LR
N14902,EMBRAER,EMB-145LR
N14904,EMBRAER,EMB-145LR
N14905,EMBRAER,EMB-145LR
N14907,EMBRAER,EMB-145LR
N14916,EMBRAER,EMB-145LR
N14920,EMBRAER,EMB-145LR
N14923,EMBRAER,EMB-145LR
N14977,EMBRAER,EMB-145LR
N14991,EMBRAER,EMB-145LR
N14993,EMBRAER,EMB-145LR
N14998,EMBRAER,EMB-145LR
N149SY,EMBRAER S A,ERJ 170-200 LR
N150AA,GRUMMAN AMERICAN AVN. CORP,AA-1A
N150SY,EMBRAER S A,ERJ 170-200 LR
N150UW,AIRBUS,A321-211
N151AA,TAGUE LARRY,PIONEER 200
N151SY,EMBRAER S A,ERJ 170-200 LR
N151UW,AIRBUS,A321-211
N152AA,AIRBUS,A321-231
N152SY,EMBRAER S A,ERJ 170-200 LR
N152UW,AIRBUS,A321-211
N153AA,AVIAT AIRCRAFT INC,A-1B
N153PQ,BOMBARDIER INC,CL-600-2D24
N153SY,EMBRAER S A,ERJ 170-200 LR
N153UW,AIRBUS,A321-211
N154AA,AIRBUS,A321-231
N154SY,EMBRAER S A,ERJ 170-200 LR
N154UW,AIRBUS,A321-211
N15555,EMBRAER,EMB-145LR
N15572,EMBRAER,EMB-145LR
N15574,EMBRAER,EMB-145LR
N155UW,AIRBUS,A321-211
N156AA,AVIAT AIRCRAFT INC,A-1B
N156SY,EMBRAER,ERJ 170-200 LR
N156UW,AIRBUS,A321-211
N15710,BOEING,737-724
N15751,BOEING,737-71Q
N157AA,AIRBUS,A321-231
N157SY,EMBRAER S A,ERJ 170-200 LR
N157UW,AIRBUS,A321-211
N15910,EMBRAER,EMB-145LR
N15912,EMBRAER,EMB-145LR
N15980,EMBRAER,EMB-145LR
N15983,EMBRAER,EMB-145LR
N15985,EMBRAER,EMB-145LR
N15986,EMBRAER,EMB-145LR
N160SY,EMBRAER,ERJ 170-200 LR
N16149,EMBRAER,EMB-145XR
N16170,EMBRAER,EMB-145XR
N16178,EMBRAER,EMB-145XR
N16183,EMBRAER,EMB-145XR
N161AA,AIRBUS,A321-231
N161SY,EMBRAER,ERJ 170-200 LR
N161UW,AIRBUS INDUSTRIE,A321-211
N16217,BOEING,737-824
N16234,BOEING,737-824
N162AA,AIRBUS,A321-231
N162SY,EMBRAER S A,ERJ 170-200 LR
N162UW,AIRBUS INDUSTRIE,A321-211
N163AA,AIRBUS,A321-231
N163SY,EMBRAER S A,ERJ 170-200 LR
N163US,AIRBUS INDUSTRIE,A321-211
N164SY,EMBRAER,ERJ 170-200 LR
N16541,EMBRAER,EMB-145LR
N16546,EMBRAER,EMB-145LR
N16559,EMBRAER,EMB-145LR
N16561,EMBRAER,EMB-145LR
N16571,EMBRAER,EMB-145LR
N165AA,GATES LEAR JET,25B
N165SY,EMBRAER S A,ERJ 170-200 LR
N165US,AIRBUS INDUSTRIE,A321-211
N166PQ,BOMBARDIER INC,CL-600-2D24
N166SY,EMBRAER S A,ERJ 170-200 LR
N16701,BOEING,737-724
N16703,BOEING,737-724
N16709,BOEING,737-724
N16713,BOEING,737-724
N16732,BOEING,737-724
N167AA,GULFSTREAM AEROSPACE,G-IV
N167SY,EMBRAER S A,ERJ 170-200 LR
N167US,AIRBUS INDUSTRIE,A321-211
N168SY,EMBRAER S A,ERJ 170-200 LR
N16911,EMBRAER,EMB-145LR
N16918,EMBRAER,EMB-145LR
N16919,EMBRAER,EMB-145LR
N16976,EMBRAER,EMB-145LR
N16981,EMBRAER,EMB-145LR
N16987,EMBRAER,EMB-145LR
N16999,EMBRAER,EMB-145LR
N169UW,AIRBUS INDUSTRIE,A321-211
N170US,AIRBUS INDUSTRIE,A321-211
N17108,EMBRAER,EMB-145XR
N17115,EMBRAER,EMB-145XR
N17138,EMBRAER,EMB-145XR
N17146,EMBRAER,EMB-145XR
N17159,EMBRAER,EMB-145XR
N17169,EMBRAER,EMB-145XR
N17185,EMBRAER,EMB-145XR
N17196,EMBRAER,EMB-145XR
N171AA,CESSNA,510
N171SY,EMBRAER S A,ERJ 170-200 LR
N171US,AIRBUS INDUSTRIE,A321-211
N17229,BOEING,737-824
N17233,BOEING,737-824
N17244,BOEING,737-824
N17245,BOEING,737-824
N172AA,CESSNA,180
N172US,AIRBUS INDUSTRIE,A321-211
N173AA,CESSNA,550
N173SY,EMBRAER S A,ERJ 170-200 LR
N173US,AIRBUS INDUSTRIE,A321-211
N174AA,BOEING,757-223
N174SY,EMBRAER S A,ERJ 170-200 LR
N174US,AIRBUS INDUSTRIE,A321-211
N17560,EMBRAER,EMB-145LR
N175SY,EMBRAER S A,ERJ 170-200 LR
N176AA,BOEING,757-223
N176PQ,BOMBARDIER INC,CL-600-2D24
N176SY,EMBRAER S A,ERJ 170-200 LR
N176UW,AIRBUS INDUSTRIE,A321-211
N17719,BOEING,737-724
N17730,BOEING,737-724
N17752,BOEING,737-71Q
N17753,BOEING,737-7V3
N177SY,EMBRAER S A,ERJ 170-200 LR
N177US,AIRBUS INDUSTRIE,A321-211
N178AA,BOEING,757-223
N178JB,EMBRAER,ERJ 190-100 IGW
N178US,AIRBUS INDUSTRIE,A321-211
N17984,EMBRAER,EMB-145LR
N179AA,BOEING,757-223
N179JB,EMBRAER,ERJ 190-100 IGW
N179SY,EMBRAER S A,ERJ 170-200 LR
N179UW,AIRBUS INDUSTRIE,A321-211
N180AA,CESSNA,180J
N180US,AIRBUS INDUSTRIE,A321-211
N181AA,DJI,PHANTOM 3 PROFESSION
N181UW,AIRBUS INDUSTRIE,A321-211
N18220,BOEING,737-824
N18223,BOEING,737-824
N18243,BOEING,737-824
N182AA,BELL,206B
N182UW,AIRBUS INDUSTRIE,A321-211
N183AA,BEECH,95
N183JB,EMBRAER,ERJ 190-100 IGW
N183SY,EMBRAER S A,ERJ 170-200 LR
N183UW,AIRBUS INDUSTRIE,A321-211
N184JB,EMBRAER,ERJ 190-100 IGW
N184US,AIRBUS INDUSTRIE,A321-211
N18556,EMBRAER,EMB-145LR
N18557,EMBRAER,EMB-145LR
N185UW,AIRBUS INDUSTRIE,A321-211
N186AA,ANGER ANTHONY B,POBER PIXIE
N186PQ,BOMBARDIER INC,CL-600-2D24
N186US,AIRBUS,A321-211
N187AA,DASSAULT AVIATION,FALCON 2000
N187JB,EMBRAER,ERJ 190-100 IGW
N187US,AIRBUS,A321-211
N188AA,BEECH,35-C33
N188US,AIRBUS,A321-211
N189AA,BEECH,K35
N189UW,AIRBUS INDUSTRIE,A321-211
N190AA,BOEING,757-223
N190JB,EMBRAER,ERJ 190-100 IGW
N190UW,AIRBUS INDUSTRIE,A321-211
N191AA,BEECH,K35
N191UW,AIRBUS INDUSTRIE,A321-211
N192AA,BEECH,K35
N192JB,EMBRAER,ERJ 190-100 IGW
N192SY,EMBRAER S A,ERJ 170-200 LR
N192UW,AIRBUS INDUSTRIE,A321-211
N193AA,MITSUBISHI,MU-2B-60
N193JB,EMBRAER,ERJ 190-100 IGW
N193UW,AIRBUS,A321-211
N194AA,BOEING,757-223
N194UW,AIRBUS,A321-211
N19554,EMBRAER,EMB-145LR
N195AA,PIPER,PA-31T
N195PQ,BOMBARDIER INC,CL-600-2D24
N195UW,AIRBUS,A321-211
N196AA,BOEING,757-223
