dt,passengers_waiting
0,14.499131069738624
1,2.8966866466866468
2,0.04395604395604395
3,0.0
4,0.0
5,0.017628205128205135
6,0.057692307692307696
7,0.2058150183150183
8,3.1916937674149213
9,11.693373085052993
10,17.297022387551575
11,24.594192035519214
12,9.810684048286785
13,12.861284759329534
14,13.206581910595288
15,27.19643141564293
16,41.10979831412817
17,38.58891747131874
18,18.39808871096472
19,22.920964556086105
20,26.738825587623115
21,35.56431626898167
22,23.478536135503184
23,29.78777140959904
