num_pickups,num_passengers,yr,mnth,d,hr
55,100,2016,1,1,0
17,30,2016,1,1,1
13,13,2016,1,1,2
20,39,2016,1,1,3
12,23,2016,1,1,4
16,30,2016,1,1,5
27,63,2016,1,1,6
32,68,2016,1,1,7
126,232,2016,1,1,8
172,339,2016,1,1,9
248,466,2016,1,1,10
280,524,2016,1,1,11
224,431,2016,1,1,12
398,739,2016,1,1,13
563,1083,2016,1,1,14
437,811,2016,1,1,15
485,913,2016,1,1,16
586,1078,2016,1,1,17
493,899,2016,1,1,18
475,883,2016,1,1,19
429,772,2016,1,1,20
431,854,2016,1,1,21
405,745,2016,1,1,22
428,780,2016,1,1,23
128,220,2016,1,2,0
33,53,2016,1,2,1
17,39,2016,1,2,2
4,5,2016,1,2,3
4,10,2016,1,2,4
13,24,2016,1,2,5
21,39,2016,1,2,6
58,114,2016,1,2,7
196,370,2016,1,2,8
406,698,2016,1,2,9
559,984,2016,1,2,10
439,765,2016,1,2,11
383,664,2016,1,2,12
383,717,2016,1,2,13
516,922,2016,1,2,14
456,868,2016,1,2,15
392,725,2016,1,2,16
616,1123,2016,1,2,17
581,1057,2016,1,2,18
483,848,2016,1,2,19
539,1020,2016,1,2,20
450,781,2016,1,2,21
497,918,2016,1,2,22
582,1035,2016,1,2,23
228,427,2016,1,3,0
62,104,2016,1,3,1
9,9,2016,1,3,2
7,14,2016,1,3,3
7,10,2016,1,3,4
15,22,2016,1,3,5
66,118,2016,1,3,6
106,188,2016,1,3,7
182,343,2016,1,3,8
572,1020,2016,1,3,9
613,1084,2016,1,3,10
557,946,2016,1,3,11
402,717,2016,1,3,12
583,1036,2016,1,3,13
616,1096,2016,1,3,14
642,1183,2016,1,3,15
759,1353,2016,1,3,16
859,1492,2016,1,3,17
845,1449,2016,1,3,18
854,1410,2016,1,3,19
764,1351,2016,1,3,20
858,1497,2016,1,3,21
808,1341,2016,1,3,22
927,1551,2016,1,3,23
439,714,2016,1,4,0
10,15,2016,1,4,1
2,2,2016,1,4,2
1,1,2016,1,4,3
15,19,2016,1,4,4
13,18,2016,1,4,5
117,198,2016,1,4,6
206,344,2016,1,4,7
553,898,2016,1,4,8
882,1489,2016,1,4,9
837,1374,2016,1,4,10
588,1058,2016,1,4,11
487,857,2016,1,4,12
536,954,2016,1,4,13
679,1219,2016,1,4,14
633,1153,2016,1,4,15
579,1009,2016,1,4,16
681,1169,2016,1,4,17
485,825,2016,1,4,18
662,1138,2016,1,4,19
604,1044,2016,1,4,20
612,1061,2016,1,4,21
699,1187,2016,1,4,22
704,1200,2016,1,4,23
409,644,2016,1,5,0
97,183,2016,1,5,1
5,10,2016,1,5,2
1,1,2016,1,5,3
5,10,2016,1,5,4
7,11,2016,1,5,5
23,36,2016,1,5,6
166,292,2016,1,5,7
440,798,2016,1,5,8
491,833,2016,1,5,9
582,1004,2016,1,5,10
563,1001,2016,1,5,11
444,742,2016,1,5,12
396,684,2016,1,5,13
632,1104,2016,1,5,14
643,1131,2016,1,5,15
503,873,2016,1,5,16
621,1072,2016,1,5,17
476,839,2016,1,5,18
598,1011,2016,1,5,19
575,1039,2016,1,5,20
577,991,2016,1,5,21
568,973,2016,1,5,22
549,948,2016,1,5,23
232,421,2016,1,6,0
6,7,2016,1,6,1
1,3,2016,1,6,2
1,1,2016,1,6,3
10,18,2016,1,6,4
10,16,2016,1,6,5
25,31,2016,1,6,6
164,315,2016,1,6,7
353,607,2016,1,6,8
510,907,2016,1,6,9
454,824,2016,1,6,10
522,868,2016,1,6,11
504,801,2016,1,6,12
408,762,2016,1,6,13
546,962,2016,1,6,14
546,1046,2016,1,6,15
547,926,2016,1,6,16
575,1025,2016,1,6,17
592,1027,2016,1,6,18
554,986,2016,1,6,19
528,943,2016,1,6,20
621,1035,2016,1,6,21
547,904,2016,1,6,22
380,638,2016,1,6,23
146,230,2016,1,7,0
6,19,2016,1,7,1
1,1,2016,1,7,2
3,3,2016,1,7,3
6,8,2016,1,7,4
9,20,2016,1,7,5
14,16,2016,1,7,6
155,261,2016,1,7,7
322,569,2016,1,7,8
436,731,2016,1,7,9
541,965,2016,1,7,10
403,699,2016,1,7,11
429,825,2016,1,7,12
447,802,2016,1,7,13
588,1013,2016,1,7,14
576,953,2016,1,7,15
437,780,2016,1,7,16
663,1132,2016,1,7,17
603,1035,2016,1,7,18
715,1232,2016,1,7,19
598,1082,2016,1,7,20
706,1184,2016,1,7,21
530,910,2016,1,7,22
511,845,2016,1,7,23
130,229,2016,1,8,0
6,12,2016,1,8,1
2,3,2016,1,8,2
2,2,2016,1,8,3
8,10,2016,1,8,4
8,9,2016,1,8,5
17,34,2016,1,8,6
145,266,2016,1,8,7
267,472,2016,1,8,8
319,561,2016,1,8,9
470,854,2016,1,8,10
387,693,2016,1,8,11
342,654,2016,1,8,12
400,690,2016,1,8,13
478,826,2016,1,8,14
485,891,2016,1,8,15
559,942,2016,1,8,16
511,875,2016,1,8,17
624,1082,2016,1,8,18
562,1001,2016,1,8,19
539,924,2016,1,8,20
563,949,2016,1,8,21
413,696,2016,1,8,22
471,766,2016,1,8,23
59,86,2016,1,9,0
46,93,2016,1,9,1
1,1,2016,1,9,3
4,8,2016,1,9,4
12,35,2016,1,9,5
9,18,2016,1,9,6
19,43,2016,1,9,7
127,213,2016,1,9,8
153,276,2016,1,9,9
373,717,2016,1,9,10
207,335,2016,1,9,11
297,509,2016,1,9,12
297,473,2016,1,9,13
298,461,2016,1,9,14
378,640,2016,1,9,15
333,567,2016,1,9,16
412,727,2016,1,9,17
269,473,2016,1,9,18
274,524,2016,1,9,19
259,468,2016,1,9,20
259,441,2016,1,9,21
270,452,2016,1,9,22
288,484,2016,1,9,23
94,149,2016,1,10,0
13,25,2016,1,10,1
2,4,2016,1,10,3
5,9,2016,1,10,4
4,7,2016,1,10,5
15,37,2016,1,10,6
7,12,2016,1,10,7
90,168,2016,1,10,8
61,101,2016,1,10,9
258,426,2016,1,10,10
292,477,2016,1,10,11
424,765,2016,1,10,12
365,598,2016,1,10,13
564,1004,2016,1,10,14
418,736,2016,1,10,15
418,708,2016,1,10,16
717,1262,2016,1,10,17
762,1340,2016,1,10,18
747,1324,2016,1,10,19
782,1330,2016,1,10,20
843,1402,2016,1,10,21
797,1303,2016,1,10,22
939,1624,2016,1,10,23
507,816,2016,1,11,0
71,123,2016,1,11,1
4,4,2016,1,11,2
1,1,2016,1,11,3
5,5,2016,1,11,4
17,23,2016,1,11,5
18,30,2016,1,11,6
358,563,2016,1,11,7
533,924,2016,1,11,8
729,1257,2016,1,11,9
929,1598,2016,1,11,10
712,1168,2016,1,11,11
539,929,2016,1,11,12
626,1057,2016,1,11,13
578,977,2016,1,11,14
551,899,2016,1,11,15
695,1182,2016,1,11,16
619,1090,2016,1,11,17
656,1119,2016,1,11,18
694,1193,2016,1,11,19
503,847,2016,1,11,20
554,940,2016,1,11,21
502,847,2016,1,11,22
539,964,2016,1,11,23
196,297,2016,1,12,0
60,87,2016,1,12,1
3,5,2016,1,12,2
1,1,2016,1,12,3
11,12,2016,1,12,4
5,5,2016,1,12,5
14,23,2016,1,12,6
254,457,2016,1,12,7
380,657,2016,1,12,8
549,895,2016,1,12,9
651,1135,2016,1,12,10
459,768,2016,1,12,11
631,1066,2016,1,12,12
431,754,2016,1,12,13
567,939,2016,1,12,14
616,1040,2016,1,12,15
524,857,2016,1,12,16
445,750,2016,1,12,17
559,930,2016,1,12,18
693,1222,2016,1,12,19
608,1008,2016,1,12,20
560,925,2016,1,12,21
607,1018,2016,1,12,22
440,700,2016,1,12,23
101,161,2016,1,13,0
2,2,2016,1,13,1
2,2,2016,1,13,3
6,10,2016,1,13,4
12,26,2016,1,13,5
16,31,2016,1,13,6
250,424,2016,1,13,7
338,579,2016,1,13,8
495,875,2016,1,13,9
675,1177,2016,1,13,10
447,738,2016,1,13,11
440,726,2016,1,13,12
525,854,2016,1,13,13
530,879,2016,1,13,14
470,780,2016,1,13,15
554,924,2016,1,13,16
661,1092,2016,1,13,17
740,1218,2016,1,13,18
729,1166,2016,1,13,19
668,1116,2016,1,13,20
656,1073,2016,1,13,21
558,967,2016,1,13,22
472,808,2016,1,13,23
131,205,2016,1,14,0
