,airline,manufacturer,model
N12900,EMB-145LR,EMBRAER,EMB-145LR
N12922,EMB-145LR,EMBRAER,EMB-145LR
N12996,EMB-145LR,EMBRAER,EMB-145LR
N130SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N13118,EMB-145XR,EMBRAER,EMB-145XR
N13161,EMB-145XR,EMBRAER,EMB-145XR
N131EV,CL-600-2D24,BOMBARDIER INC,CL-600-2D24
N131SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N13202,EMB-145XR,EMBRAER,EMB-145XR
N13227,737-824,BOEING,737-824
N13248,737-824,BOEING,737-824
N132EV,CL-600-2D24,BOMBARDIER INC,CL-600-2D24
N132SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N133EV,CL-600-2D24,BOMBARDIER INC,CL-600-2D24
N133SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N134EV,CL-600-2D24,BOMBARDIER INC,CL-600-2D24
N134SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N13538,EMB-145LR,EMBRAER,EMB-145LR
N13550,EMB-145LR,EMBRAER,EMB-145LR
N13553,EMB-145LR,EMBRAER,EMB-145LR
N13566,EMB-145LR,EMBRAER,EMB-145LR
N135EV,CL-600-2D24,BOMBARDIER INC,CL-600-2D24
N135SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N136SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N13716,737-724,BOEING,737-724
N13718,737-724,BOEING,737-724
N13720,737-724,BOEING,737-724
N13750,737-724,BOEING,737-724
N137EV,CL-600-2D24,BOMBARDIER INC,CL-600-2D24
N138EV,CL-600-2D24,BOMBARDIER INC,CL-600-2D24
N138SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N13903,EMB-145LR,EMBRAER,EMB-145LR
N13908,EMB-145LR,EMBRAER,EMB-145LR
N13913,EMB-145LR,EMBRAER,EMB-145LR
N13914,EMB-145LR,EMBRAER,EMB-145LR
N13975,EMB-145LR,EMBRAER,EMB-145LR
N13978,EMB-145LR,EMBRAER,EMB-145LR
N13979,EMB-145LR,EMBRAER,EMB-145LR
N13988,EMB-145LR,EMBRAER,EMB-145LR
N13989,EMB-145LR,EMBRAER,EMB-145LR
N13992,EMB-145LR,EMBRAER,EMB-145LR
N13994,EMB-145LR,EMBRAER,EMB-145LR
N13995,EMB-145LR,EMBRAER,EMB-145LR
N13997,EMB-145LR,EMBRAER,EMB-145LR
N139SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N140SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N14105,EMB-145XR,EMBRAER,EMB-145XR
N14120,757-224,BOEING,757-224
N14143,EMB-145XR,EMBRAER,EMB-145XR
N14148,EMB-145XR,EMBRAER,EMB-145XR
N14158,EMB-145XR,EMBRAER,EMB-145XR
N14162,EMB-145XR,EMBRAER,EMB-145XR
N14168,EMB-145XR,EMBRAER,EMB-145XR
N14171,EMB-145XR,EMBRAER,EMB-145XR
N14173,EMB-145XR,EMBRAER,EMB-145XR
N14174,EMB-145XR,EMBRAER,EMB-145XR
N14177,EMB-145XR,EMBRAER,EMB-145XR
N14179,EMB-145XR,EMBRAER,EMB-145XR
N14180,EMB-145XR,EMBRAER,EMB-145XR
N14188,EMB-145XR,EMBRAER,EMB-145XR
N14198,EMB-145XR,EMBRAER,EMB-145XR
N141SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N14203,EMB-145XR,EMBRAER,EMB-145XR
N14204,EMB-145XR,EMBRAER,EMB-145XR
N14214,737-824,BOEING,737-824
N14219,737-824,BOEING,737-824
N14228,737-824,BOEING,737-824
N14230,737-824,BOEING,737-824
N14231,737-824,BOEING,737-824
N14235,737-824,BOEING,737-824
N14237,737-824,BOEING,737-824
N14240,737-824,BOEING,737-824
N14242,737-824,BOEING,737-824
N14249,737-824,BOEING,737-824
N14250,737-824,BOEING,737-824
N142SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N143SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N144SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N14542,EMB-145LR,EMBRAER,EMB-145LR
N14543,EMB-145LR,EMBRAER,EMB-145LR
N14558,EMB-145LR,EMBRAER,EMB-145LR
N14562,EMB-145LR,EMBRAER,EMB-145LR
N14568,EMB-145LR,EMBRAER,EMB-145LR
N14570,EMB-145LR,EMBRAER,EMB-145LR
N14573,EMB-145LR,EMBRAER,EMB-145LR
N145SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N146PQ,CL-600-2D24,BOMBARDIER INC,CL-600-2D24
N146SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N14704,737-724,BOEING,737-724
N14731,737-724,BOEING,737-724
N14735,737-724,BOEING,737-724
N147PQ,CL-600-2D24,BOMBARDIER INC,CL-600-2D24
N148SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N14902,EMB-145LR,EMBRAER,EMB-145LR
N14904,EMB-145LR,EMBRAER,EMB-145LR
N14905,EMB-145LR,EMBRAER,EMB-145LR
N14907,EMB-145LR,EMBRAER,EMB-145LR
N14916,EMB-145LR,EMBRAER,EMB-145LR
N14920,EMB-145LR,EMBRAER,EMB-145LR
N14923,EMB-145LR,EMBRAER,EMB-145LR
N14977,EMB-145LR,EMBRAER,EMB-145LR
N14991,EMB-145LR,EMBRAER,EMB-145LR
N14993,EMB-145LR,EMBRAER,EMB-145LR
N14998,EMB-145LR,EMBRAER,EMB-145LR
N149SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N150AA,AA-1A,GRUMMAN AMERICAN AVN. CORP,AA-1A
N150SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N150UW,A321-211,AIRBUS,A321-211
N151AA,PIONEER 200,TAGUE LARRY,PIONEER 200
N151SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N151UW,A321-211,AIRBUS,A321-211
N152AA,A321-231,AIRBUS,A321-231
N152SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N152UW,A321-211,AIRBUS,A321-211
N153AA,A-1B,AVIAT AIRCRAFT INC,A-1B
N153PQ,CL-600-2D24,BOMBARDIER INC,CL-600-2D24
N153SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N153UW,A321-211,AIRBUS,A321-211
N154AA,A321-231,AIRBUS,A321-231
N154SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N154UW,A321-211,AIRBUS,A321-211
N15555,EMB-145LR,EMBRAER,EMB-145LR
N15572,EMB-145LR,EMBRAER,EMB-145LR
N15574,EMB-145LR,EMBRAER,EMB-145LR
N155UW,A321-211,AIRBUS,A321-211
N156AA,A-1B,AVIAT AIRCRAFT INC,A-1B
N156SY,ERJ 170-200 LR,EMBRAER,ERJ 170-200 LR
N156UW,A321-211,AIRBUS,A321-211
N15710,737-724,BOEING,737-724
N15751,737-71Q,BOEING,737-71Q
