num_pickups,num_passengers,yr,mnth,d,hr
612,1002,2015,1,9,21
583,1032,2015,1,9,22
418,711,2015,1,9,23
230,392,2015,1,10,0
43,65,2015,1,10,1
3,3,2015,1,10,2
2,4,2015,1,10,3
2,2,2015,1,10,4
6,8,2015,1,10,5
9,11,2015,1,10,6
39,67,2015,1,10,7
102,184,2015,1,10,8
183,294,2015,1,10,9
324,582,2015,1,10,10
416,719,2015,1,10,11
440,781,2015,1,10,12
363,635,2015,1,10,13
317,549,2015,1,10,14
529,891,2015,1,10,15
390,680,2015,1,10,16
446,747,2015,1,10,17
355,608,2015,1,10,18
346,620,2015,1,10,19
331,574,2015,1,10,20
339,574,2015,1,10,21
339,541,2015,1,10,22
345,589,2015,1,10,23
124,256,2015,1,11,0
4,5,2015,1,11,1
1,1,2015,1,11,2
1,1,2015,1,11,3
4,4,2015,1,11,4
8,10,2015,1,11,5
7,8,2015,1,11,6
27,37,2015,1,11,7
114,175,2015,1,11,8
192,327,2015,1,11,9
393,672,2015,1,11,10
419,684,2015,1,11,11
396,703,2015,1,11,12
573,1045,2015,1,11,13
590,1000,2015,1,11,14
681,1157,2015,1,11,15
806,1334,2015,1,11,16
714,1201,2015,1,11,17
752,1203,2015,1,11,18
765,1278,2015,1,11,19
689,1114,2015,1,11,20
726,1192,2015,1,11,21
766,1295,2015,1,11,22
623,1018,2015,1,11,23
380,654,2015,1,12,0
4,4,2015,1,12,1
1,1,2015,1,12,2
1,1,2015,1,12,3
3,4,2015,1,12,4
14,24,2015,1,12,5
22,42,2015,1,12,6
218,356,2015,1,12,7
551,866,2015,1,12,8
696,1086,2015,1,12,9
638,1083,2015,1,12,10
761,1266,2015,1,12,11
655,1087,2015,1,12,12
539,924,2015,1,12,13
556,927,2015,1,12,14
577,1004,2015,1,12,15
546,924,2015,1,12,16
678,1209,2015,1,12,17
632,1067,2015,1,12,18
625,1065,2015,1,12,19
591,1017,2015,1,12,20
686,1136,2015,1,12,21
572,886,2015,1,12,22
510,872,2015,1,12,23
157,248,2015,1,13,0
3,5,2015,1,13,1
2,2,2015,1,13,2
1,2,2015,1,13,3
5,5,2015,1,13,4
5,5,2015,1,13,5
25,35,2015,1,13,6
279,479,2015,1,13,7
481,803,2015,1,13,8
684,1168,2015,1,13,9
723,1264,2015,1,13,10
481,743,2015,1,13,11
483,806,2015,1,13,12
437,757,2015,1,13,13
582,1071,2015,1,13,14
596,1027,2015,1,13,15
618,1048,2015,1,13,16
569,962,2015,1,13,17
539,901,2015,1,13,18
651,1069,2015,1,13,19
509,815,2015,1,13,20
595,1024,2015,1,13,21
465,738,2015,1,13,22
416,662,2015,1,13,23
67,108,2015,1,14,0
5,5,2015,1,14,1
3,7,2015,1,14,3
7,8,2015,1,14,4
9,18,2015,1,14,5
6,6,2015,1,14,6
220,371,2015,1,14,7
333,546,2015,1,14,8
515,876,2015,1,14,9
464,839,2015,1,14,10
543,927,2015,1,14,11
395,670,2015,1,14,12
486,814,2015,1,14,13
424,713,2015,1,14,14
555,960,2015,1,14,15
563,941,2015,1,14,16
543,896,2015,1,14,17
702,1220,2015,1,14,18
548,924,2015,1,14,19
531,880,2015,1,14,20
672,1148,2015,1,14,21
498,844,2015,1,14,22
303,481,2015,1,14,23
75,131,2015,1,15,0
3,3,2015,1,15,1
3,3,2015,1,15,3
6,16,2015,1,15,4
7,12,2015,1,15,5
24,37,2015,1,15,6
168,276,2015,1,15,7
351,584,2015,1,15,8
475,797,2015,1,15,9
495,885,2015,1,15,10
449,852,2015,1,15,11
340,643,2015,1,15,12
498,822,2015,1,15,13
533,928,2015,1,15,14
580,1004,2015,1,15,15
644,1167,2015,1,15,16
682,1186,2015,1,15,17
734,1187,2015,1,15,18
763,1346,2015,1,15,19
722,1207,2015,1,15,20
850,1401,2015,1,15,21
763,1336,2015,1,15,22
609,1016,2015,1,15,23
111,177,2015,1,16,0
3,3,2015,1,16,1
4,8,2015,1,16,2
2,3,2015,1,16,3
7,10,2015,1,16,4
12,16,2015,1,16,5
16,30,2015,1,16,6
155,252,2015,1,16,7
232,385,2015,1,16,8
363,649,2015,1,16,9
486,862,2015,1,16,10
568,1041,2015,1,16,11
452,804,2015,1,16,12
393,737,2015,1,16,13
628,1057,2015,1,16,14
603,990,2015,1,16,15
656,1067,2015,1,16,16
602,1102,2015,1,16,17
683,1199,2015,1,16,18
636,1071,2015,1,16,19
537,896,2015,1,16,20
733,1233,2015,1,16,21
771,1349,2015,1,16,22
700,1220,2015,1,16,23
469,811,2015,1,17,0
70,107,2015,1,17,1
10,12,2015,1,17,2
5,5,2015,1,17,3
10,20,2015,1,17,4
11,20,2015,1,17,5
10,14,2015,1,17,6
34,50,2015,1,17,7
104,155,2015,1,17,8
221,403,2015,1,17,9
300,532,2015,1,17,10
406,748,2015,1,17,11
371,715,2015,1,17,12
291,509,2015,1,17,13
180,315,2015,1,17,14
345,569,2015,1,17,15
265,465,2015,1,17,16
319,557,2015,1,17,17
233,379,2015,1,17,18
196,348,2015,1,17,19
227,347,2015,1,17,20
207,338,2015,1,17,21
225,353,2015,1,17,22
230,400,2015,1,17,23
59,109,2015,1,18,0
6,6,2015,1,18,1
3,8,2015,1,18,2
1,5,2015,1,18,3
7,8,2015,1,18,4
7,7,2015,1,18,5
8,9,2015,1,18,6
28,41,2015,1,18,7
74,105,2015,1,18,8
162,268,2015,1,18,9
260,445,2015,1,18,10
244,416,2015,1,18,11
290,513,2015,1,18,12
358,575,2015,1,18,13
519,921,2015,1,18,14
401,659,2015,1,18,15
578,1062,2015,1,18,16
460,787,2015,1,18,17
538,909,2015,1,18,18
487,809,2015,1,18,19
608,962,2015,1,18,20
552,920,2015,1,18,21
585,918,2015,1,18,22
547,909,2015,1,18,23
192,311,2015,1,19,0
1,1,2015,1,19,1
1,3,2015,1,19,2
2,2,2015,1,19,3
2,2,2015,1,19,4
11,23,2015,1,19,5
18,27,2015,1,19,6
137,215,2015,1,19,7
292,459,2015,1,19,8
449,738,2015,1,19,9
650,1036,2015,1,19,10
573,967,2015,1,19,11
500,874,2015,1,19,12
638,1084,2015,1,19,13
691,1240,2015,1,19,14
753,1356,2015,1,19,15
689,1130,2015,1,19,16
714,1246,2015,1,19,17
759,1254,2015,1,19,18
825,1400,2015,1,19,19
908,1532,2015,1,19,20
940,1674,2015,1,19,21
1070,1821,2015,1,19,22
907,1575,2015,1,19,23
228,412,2015,1,20,0
3,5,2015,1,20,1
1,2,2015,1,20,3
4,5,2015,1,20,4
9,19,2015,1,20,5
27,40,2015,1,20,6
400,673,2015,1,20,7
526,804,2015,1,20,8
767,1376,2015,1,20,9
843,1534,2015,1,20,10
708,1211,2015,1,20,11
501,872,2015,1,20,12
488,822,2015,1,20,13
610,1019,2015,1,20,14
432,753,2015,1,20,15
583,965,2015,1,20,16
661,1174,2015,1,20,17
596,1053,2015,1,20,18
616,988,2015,1,20,19
632,1073,2015,1,20,20
645,1076,2015,1,20,21
451,754,2015,1,20,22
440,736,2015,1,20,23
75,127,2015,1,21,0
2,3,2015,1,21,1
2,2,2015,1,21,2
2,2,2015,1,21,3
5,6,2015,1,21,4
14,23,2015,1,21,5
24,48,2015,1,21,6
283,487,2015,1,21,7
359,603,2015,1,21,8
550,906,2015,1,21,9
661,1157,2015,1,21,10
511,881,2015,1,21,11
433,786,2015,1,21,12
443,805,2015,1,21,13
559,946,2015,1,21,14
526,873,2015,1,21,15
505,870,2015,1,21,16
545,1020,2015,1,21,17
600,1077,2015,1,21,18
661,1115,2015,1,21,19
663,1219,2015,1,21,20
504,878,2015,1,21,21
422,723,2015,1,21,22
288,510,2015,1,21,23
127,224,2015,1,22,0
1,5,2015,1,22,1
2,7,2015,1,22,2
1,1,2015,1,22,3
2,2,2015,1,22,4
13,16,2015,1,22,5
19,36,2015,1,22,6
242,376,2015,1,22,7
347,569,2015,1,22,8
429,773,2015,1,22,9
579,1028,2015,1,22,10
527,900,2015,1,22,11
445,791,2015,1,22,12
527,893,2015,1,22,13
544,916,2015,1,22,14
618,1125,2015,1,22,15
584,969,2015,1,22,16
661,1087,2015,1,22,17
656,1105,2015,1,22,18
743,1251,2015,1,22,19
659,1107,2015,1,22,20
941,1570,2015,1,22,21
681,1184,2015,1,22,22
557,955,2015,1,22,23
64,97,2015,1,23,0
4,4,2015,1,23,1
1,1,2015,1,23,2
1,2,2015,1,23,3
5,10,2015,1,23,4
9,18,2015,1,23,5
19,24,2015,1,23,6
184,279,2015,1,23,7
213,328,2015,1,23,8
459,779,2015,1,23,9
386,612,2015,1,23,10
487,853,2015,1,23,11
422,748,2015,1,23,12
436,759,2015,1,23,13
592,1047,2015,1,23,14
584,948,2015,1,23,15
568,1039,2015,1,23,16
725,1188,2015,1,23,17
577,996,2015,1,23,18
738,1249,2015,1,23,19
534,916,2015,1,23,20
598,1006,2015,1,23,21
403,725,2015,1,23,22
311,536,2015,1,23,23
83,155,2015,1,24,0
1,1,2015,1,24,1
2,2,2015,1,24,2
1,1,2015,1,24,3
3,5,2015,1,24,4
8,14,2015,1,24,5
9,19,2015,1,24,6
12,18,2015,1,24,7
38,62,2015,1,24,8
142,236,2015,1,24,9
166,304,2015,1,24,10
295,510,2015,1,24,11
294,533,2015,1,24,12
241,412,2015,1,24,13
280,513,2015,1,24,14
306,527,2015,1,24,15
278,510,2015,1,24,16
375,664,2015,1,24,17
290,462,2015,1,24,18
235,428,2015,1,24,19
180,295,2015,1,24,20
222,344,2015,1,24,21
221,413,2015,1,24,22
335,536,2015,1,24,23
55,104,2015,1,25,0
2,2,2015,1,25,1
1,1,2015,1,25,2
2,2,2015,1,25,3
4,5,2015,1,25,4
5,12,2015,1,25,5
9,19,2015,1,25,6
38,53,2015,1,25,7
71,125,2015,1,25,8
152,254,2015,1,25,9
275,452,2015,1,25,10
309,487,2015,1,25,11
384,612,2015,1,25,12
440,750,2015,1,25,13
551,947,2015,1,25,14
538,983,2015,1,25,15
628,1100,2015,1,25,16
630,1046,2015,1,25,17
814,1350,2015,1,25,18
664,1154,2015,1,25,19
817,1335,2015,1,25,20
803,1301,2015,1,25,21
648,1055,2015,1,25,22
677,1111,2015,1,25,23
186,294,2015,1,26,0
2,2,2015,1,26,1
4,4,2015,1,26,2
4,5,2015,1,26,3
10,15,2015,1,26,4
20,33,2015,1,26,5
26,27,2015,1,26,6
146,237,2015,1,26,7
441,762,2015,1,26,8
574,948,2015,1,26,9
444,726,2015,1,26,10
598,1019,2015,1,26,11
297,505,2015,1,26,12
302,480,2015,1,26,13
116,203,2015,1,26,14
121,183,2015,1,26,15
40,74,2015,1,26,16
42,91,2015,1,26,17
32,68,2015,1,26,18
16,30,2015,1,26,19
6,8,2015,1,26,20
2,2,2015,1,26,21
2,2,2015,1,27,8
3,3,2015,1,27,9
8,13,2015,1,27,10
5,5,2015,1,27,11
3,6,2015,1,27,12
8,14,2015,1,27,13
34,75,2015,1,27,14
9,11,2015,1,27,15
10,21,2015,1,27,16
20,42,2015,1,27,17
19,35,2015,1,27,18
66,130,2015,1,27,19
138,207,2015,1,27,20
238,434,2015,1,27,21
145,257,2015,1,27,22
228,445,2015,1,27,23
52,110,2015,1,28,0
2,2,2015,1,28,2
6,17,2015,1,28,4
6,6,2015,1,28,5
8,8,2015,1,28,6
200,324,2015,1,28,7
339,579,2015,1,28,8
483,810,2015,1,28,9
690,1236,2015,1,28,10
617,1026,2015,1,28,11
558,951,2015,1,28,12
518,888,2015,1,28,13
693,1200,2015,1,28,14
566,1013,2015,1,28,15
575,1037,2015,1,28,16
589,968,2015,1,28,17
727,1364,2015,1,28,18
683,1136,2015,1,28,19
602,1070,2015,1,28,20
774,1332,2015,1,28,21
497,853,2015,1,28,22
395,718,2015,1,28,23
149,267,2015,1,29,0
3,9,2015,1,29,1
2,2,2015,1,29,2
2,6,2015,1,29,3
6,8,2015,1,29,4
11,11,2015,1,29,5
17,21,2015,1,29,6
166,276,2015,1,29,7
411,677,2015,1,29,8
433,735,2015,1,29,9
591,1030,2015,1,29,10
412,764,2015,1,29,11
498,918,2015,1,29,12
466,751,2015,1,29,13
493,872,2015,1,29,14
641,1076,2015,1,29,15
661,1141,2015,1,29,16
597,1025,2015,1,29,17
674,1115,2015,1,29,18
608,959,2015,1,29,19
679,1150,2015,1,29,20
748,1262,2015,1,29,21
623,1066,2015,1,29,22
575,975,2015,1,29,23
123,189,2015,1,30,0
9,18,2015,1,30,1
1,3,2015,1,30,2
1,1,2015,1,30,3
2,2,2015,1,30,4
10,15,2015,1,30,5
15,21,2015,1,30,6
114,188,2015,1,30,7
249,469,2015,1,30,8
286,454,2015,1,30,9
345,576,2015,1,30,10
352,662,2015,1,30,11
522,882,2015,1,30,12
447,766,2015,1,30,13
554,914,2015,1,30,14
526,922,2015,1,30,15
520,870,2015,1,30,16
621,1043,2015,1,30,17
693,1179,2015,1,30,18
596,983,2015,1,30,19
501,843,2015,1,30,20
557,987,2015,1,30,21
543,882,2015,1,30,22
593,935,2015,1,30,23
489,854,2015,1,31,0
77,108,2015,1,31,1
4,4,2015,1,31,2
7,14,2015,1,31,3
2,2,2015,1,31,4
4,4,2015,1,31,5
8,11,2015,1,31,6
38,74,2015,1,31,7
41,67,2015,1,31,8
225,395,2015,1,31,9
240,392,2015,1,31,10
371,665,2015,1,31,11
299,530,2015,1,31,12
243,397,2015,1,31,13
261,436,2015,1,31,14
381,667,2015,1,31,15
260,438,2015,1,31,16
326,544,2015,1,31,17
281,459,2015,1,31,18
295,491,2015,1,31,19
269,451,2015,1,31,20
213,362,2015,1,31,21
254,458,2015,1,31,22
278,454,2015,1,31,23
91,164,2015,2,1,0
2,4,2015,2,1,1
1,1,2015,2,1,2
4,15,2015,2,1,3
6,7,2015,2,1,4
11,17,2015,2,1,5
9,14,2015,2,1,6
16,22,2015,2,1,7
61,81,2015,2,1,8
157,243,2015,2,1,9
359,609,2015,2,1,10
302,513,2015,2,1,11
406,700,2015,2,1,12
412,721,2015,2,1,13
538,957,2015,2,1,14
513,903,2015,2,1,15
642,1102,2015,2,1,16
724,1307,2015,2,1,17
492,825,2015,2,1,18
535,873,2015,2,1,19
610,1039,2015,2,1,20
421,703,2015,2,1,21
265,455,2015,2,1,22
242,427,2015,2,1,23
103,163,2015,2,2,0
4,5,2015,2,2,1
1,1,2015,2,2,2
25,40,2015,2,2,5
21,26,2015,2,2,6
104,155,2015,2,2,7
219,376,2015,2,2,8
115,184,2015,2,2,9
301,522,2015,2,2,10
487,787,2015,2,2,11
461,754,2015,2,2,12
340,553,2015,2,2,13
354,581,2015,2,2,14
284,479,2015,2,2,15
390,677,2015,2,2,16
534,864,2015,2,2,17
645,1149,2015,2,2,18
511,810,2015,2,2,19
560,945,2015,2,2,20
414,713,2015,2,2,21
411,658,2015,2,2,22
566,982,2015,2,2,23
518,880,2015,2,3,0
115,193,2015,2,3,1
9,10,2015,2,3,2
3,8,2015,2,3,3
12,14,2015,2,3,4
24,44,2015,2,3,5
36,47,2015,2,3,6
153,250,2015,2,3,7
399,642,2015,2,3,8
727,1294,2015,2,3,9
783,1335,2015,2,3,10
766,1264,2015,2,3,11
629,1031,2015,2,3,12
695,1239,2015,2,3,13
724,1185,2015,2,3,14
570,962,2015,2,3,15
707,1257,2015,2,3,16
823,1448,2015,2,3,17
658,1103,2015,2,3,18
679,1144,2015,2,3,19
680,1110,2015,2,3,20
720,1193,2015,2,3,21
589,982,2015,2,3,22
549,984,2015,2,3,23
280,438,2015,2,4,0
55,118,2015,2,4,1
4,5,2015,2,4,2
4,8,2015,2,4,3
3,8,2015,2,4,4
16,21,2015,2,4,5
11,11,2015,2,4,6
183,266,2015,2,4,7
423,691,2015,2,4,8
572,924,2015,2,4,9
660,1155,2015,2,4,10
519,822,2015,2,4,11
498,905,2015,2,4,12
440,787,2015,2,4,13
445,752,2015,2,4,14
499,849,2015,2,4,15
376,627,2015,2,4,16
621,1053,2015,2,4,17
570,940,2015,2,4,18
601,1033,2015,2,4,19
587,958,2015,2,4,20
607,1043,2015,2,4,21
501,778,2015,2,4,22
324,539,2015,2,4,23
120,202,2015,2,5,0
2,2,2015,2,5,1
3,4,2015,2,5,2
3,4,2015,2,5,3
6,7,2015,2,5,4
8,16,2015,2,5,5
35,58,2015,2,5,6
138,225,2015,2,5,7
273,424,2015,2,5,8
425,736,2015,2,5,9
337,603,2015,2,5,10
395,661,2015,2,5,11
397,703,2015,2,5,12
378,655,2015,2,5,13
403,736,2015,2,5,14
479,871,2015,2,5,15
580,1041,2015,2,5,16
585,966,2015,2,5,17
675,1169,2015,2,5,18
719,1218,2015,2,5,19
801,1344,2015,2,5,20
720,1216,2015,2,5,21
654,1074,2015,2,5,22
597,1007,2015,2,5,23
257,408,2015,2,6,0
3,3,2015,2,6,1
1,3,2015,2,6,2
6,12,2015,2,6,4
17,22,2015,2,6,5
12,17,2015,2,6,6
196,345,2015,2,6,7
239,405,2015,2,6,8
365,668,2015,2,6,9
449,771,2015,2,6,10
494,871,2015,2,6,11
446,768,2015,2,6,12
494,858,2015,2,6,13
479,807,2015,2,6,14
627,1029,2015,2,6,15
497,819,2015,2,6,16
611,1057,2015,2,6,17
