,tail_number,airline,manufacturer,model,manufacturer_short,model_short,manufacturer_model,seats
66,N119US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214,AIRBUS,A320,AIRBUS A320,156.0
67,N120SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
68,N12135,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
69,N12136,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
70,N12142,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
71,N12157,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
72,N12160,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
73,N12163,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
74,N12166,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
75,N12167,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
76,N12172,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
77,N12175,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
78,N12195,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
79,N121SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
80,N121UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214,AIRBUS,A320,AIRBUS A320,156.0
81,N12201,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
82,N12216,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
83,N12218,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
84,N12221,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
85,N12225,UNITED AIRLINES INC,BOEING,737-824,BOEING,737,BOEING 737,150.0
86,N12238,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
87,N122AA,ADKINS AVIATION LLC,ROBINSON HELICOPTER COMPANY,R44 II,ROBINSON,R44 II,ROBINSON R44 II,
88,N122SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
89,N122US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214,AIRBUS,A320,AIRBUS A320,156.0
90,N123AA,SMITH KEM W,HURT GEORGE,CHALLENGER I SPECIAL,HURT,CHALLENGER I SPECIAL,HURT CHALLENGER I SPECIAL,
